"광주광역시","다세대주택",6530,5703,827,786,497,251,38,41,41,-,-,-
"광주광역시","비거주용 건물 내 주택",7399,6286,1113,1043,853,164,26,70,70,-,-,-
"광주광역시","주택이외의 거처",16533,14706,1827,1774,1310,451,13,53,30,23,-,-
"대전광역시","계",631208,551052,80156,77038,56910,16081,4047,3118,2693,241,125,59
"대전광역시","주택",615737,537198,78539,75481,55833,15668,3980,3058,2647,227,125,59
"대전광역시","단독주택",218404,190870,27534,26188,19583,5696,909,1346,1189,119,30,8
"대전광역시","아파트",348532,303770,44762,43244,31610,8872,2762,1518,1295,94,78,51
"대전광역시","연립주택",9329,8128,1201,1175,906,230,39,26,16,-,10,-
"대전광역시","다세대주택",30951,27133,3818,3714,2843,659,212,104,90,7,7,-
"대전광역시","비거주용 건물 내 주택",8521,7297,1224,1160,891,211,58,64,57,7,-,-
"대전광역시","주택이외의 거처",15471,13854,1617,1557,1077,413,67,60,46,14,-,-
"울산광역시","계",444087,384845,59242,56391,41040,12425,2926,2851,2484,175,87,105
"울산광역시","주택",430544,373234,57310,54651,39728,12053,2870,2659,2316,170,87,86
"울산광역시","단독주택",127212,108295,18917,17808,13907,3399,502,1109,993,55,27,34
"울산광역시","아파트",269162,235619,33543,32210,22430,7637,2143,1333,1168,82,48,35
"울산광역시","연립주택",6093,5275,818,795,522,227,46,23,23,-,-,-
"울산광역시","다세대주택",19791,17031,2760,2645,1883,635,127,115,92,11,12,-
"울산광역시","비거주용 건물 내 주택",8286,7014,1272,1193,986,155,52,79,40,22,-,17
"울산광역시","주택이외의 거처",13543,11611,1932,1740,1312,372,56,192,168,5,-,19
"세종특별자치시","계",139106,120612,18494,17342,12641,3557,1144,1152,997,81,35,39
"세종특별자치시","주택",135595,117629,17966,16909,12315,3464,1130,1057,919,64,35,39
"세종특별자치시","단독주택",28601,23639,4962,4540,3856,571,113,422,378,39,-,5
"세종특별자치시","아파트",104323,91630,12693,12089,8241,2851,997,604,513,25,35,31
"세종특별자치시","연립주택",850,749,101,94,71,17,6,7,7,-,-,-
"세종특별자치시","다세대주택",948,861,87,70,51,14,5,17,17,-,-,-
"세종특별자치시","비거주용 건물 내 주택",873,750,123,116,96,11,9,7,4,-,-,3
"세종특별자치시","주택이외의 거처",3511,2983,528,433,326,93,14,95,78,17,-,-
"경기도","계",5098431,4236258,862173,820178,623960,157807,38411,41995,37607,2762,845,781
"경기도","주택",4788696,3973532,815164,776019,591292,147555,37172,39145,35022,2567,824,732
"경기도","단독주택",1070690,878501,192189,178525,142235,31282,5008,13664,12050,1060,151,403
"경기도","아파트",2974909,2486514,488395,469639,352001,90577,27061,18756,16779,1185,554,238
"경기도","연립주택",113167,93021,20146,19087,14718,3611,758,1059,973,54,5,27
"경기도","다세대주택",572818,467614,105204,100198,75392,20682,4124,5006,4627,221,103,55
"경기도","비거주용 건물 내 주택",57112,47882,9230,8570,6946,1403,221,660,593,47,11,9
